,0,1
0,-0.6566,-0.0267
1,-0.6976,-0.3924
2,0.807,-0.4057
3,-0.3497,0.3591
4,0.7337,0.1472
5,-0.7403,0.3039
6,-0.5017,0.329
7,0.749,0.0657
8,0.6809,0.4487
9,0.8523,0.523
10,0.9635,-0.0984
11,0.9023,-0.1448
12,-0.636,0.4649
13,0.8753,-0.1514
14,-0.9286,-0.3711
15,-0.6646,0.3793
16,-0.1374,0.2269
17,0.9101,-0.0995
18,-0.665,0.544
19,-0.5185,0.658
20,0.9125,-0.0507
21,-0.771,-0.5789
22,0.7585,-0.5531
23,-0.9674,-0.2532
24,-0.3546,0.4181
25,0.7961,-0.3789
26,-0.7932,0.0125
27,0.815,-0.5081
28,-0.6505,0.4227
29,0.0444,-0.0535
30,-0.5877,0.5373
31,-0.9076,-0.3964
32,0.9196,-0.3929
33,0.9179,-0.2579
34,0.9873,-0.1587
35,-0.6574,0.207
36,0.9394,-0.3428
37,0.6788,0.3262
38,-0.6892,-0.098
39,-0.8877,-0.2951
40,0.2062,0.2726
41,-0.4282,0.5224
42,-0.9157,-0.4018
43,0.8034,-0.1076
44,0.8589,-0.2517
45,0.8323,0.5543
46,0.9007,-0.0348
47,-0.0481,-0.0794
48,-0.9316,-0.3634
49,-0.0369,-0.1232
